"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2026","205.80","203.20","206.20","202.40","863.74K","2.39%"
"09/07/2026","201.00","200.60","203.40","199.90","841.99K","-0.40%"
"09/04/2026","201.80","201.20","202.60","200.00","940.70K","0.60%"
"09/03/2026","200.60","203.00","203.40","200.40","993.88K","-1.18%"
"09/02/2026","203.00","203.20","206.20","202.60","861.98K","-0.39%"
"09/01/2026","203.80","205.40","205.40","202.80","1.19M","-0.78%"
"08/31/2026","205.40","208.20","208.20","205.20","2.31M","-1.72%"
"08/28/2026","209.00","207.80","209.40","207.20","1.07M","0.29%"
"08/27/2026","208.40","210.40","211.00","208.00","1.07M","-1.51%"
"08/26/2026","211.60","207.00","213.20","206.60","1.54M","1.83%"
"08/25/2026","207.80","206.00","208.40","205.60","1.37M","1.27%"
"08/24/2026","205.20","204.00","206.20","204.00","900.05K","0.88%"
"08/21/2026","203.40","199.00","204.40","198.50","1.61M","3.04%"
"08/20/2026","197.40","200.60","201.20","196.20","968.32K","-0.45%"
"08/19/2026","198.30","197.60","198.30","195.50","1.16M","-0.60%"
"08/18/2026","199.50","199.20","200.40","196.50","1.53M","-0.84%"
"08/17/2026","201.20","199.00","201.40","198.90","1.08M","-0.40%"
"08/14/2026","202.00","204.00","204.60","201.80","594.38K","-0.79%"
"08/13/2026","203.60","205.00","205.00","201.40","938.67K","-1.17%"
"08/12/2026","206.00","204.80","207.40","203.80","796.87K","1.78%"
"08/11/2026","202.40","198.40","203.00","198.40","972.10K","2.02%"
"08/10/2026","198.40","199.40","200.20","198.00","647.21K","-0.55%"
"08/07/2026","199.50","198.10","200.80","197.10","940.10K","0.76%"
"08/06/2026","198.00","197.90","201.40","197.70","827.37K","0.61%"
"08/05/2026","196.80","200.80","200.80","196.60","1.09M","-2.19%"
"08/04/2026","201.20","204.80","205.20","201.20","1.07M","-1.76%"
"08/03/2026","204.80","202.80","206.40","201.80","1.04M","1.09%"
"07/31/2026","202.60","204.00","204.00","201.40","832.80K","-1.07%"
"07/30/2026","204.80","202.00","205.20","201.80","799.21K","0.69%"
"07/29/2026","203.40","203.00","204.80","201.20","687.58K","0.20%"
"07/28/2026","203.00","202.00","204.20","201.80","853.31K","0.89%"
"07/27/2026","201.20","199.00","201.20","199.00","770.34K","1.72%"
"07/24/2026","197.80","197.70","201.60","196.80","562.31K","-0.30%"
"07/23/2026","198.40","198.10","198.80","196.50","645.46K","-0.45%"
"07/22/2026","199.30","196.80","199.90","195.40","597.65K","1.42%"
"07/21/2026","196.50","197.60","197.70","194.50","588.78K","-0.46%"
"07/20/2026","197.40","196.10","199.40","195.50","704.54K","0.30%"
"07/17/2026","196.80","198.00","198.70","196.20","733.50K","-0.56%"
"07/16/2026","197.90","194.20","198.30","193.50","904.16K","2.01%"
"07/15/2026","194.00","195.20","197.30","193.40","853.95K","2.97%"
"07/14/2026","188.40","184.60","189.90","183.60","791.55K","0.59%"
"07/13/2026","187.30","184.40","187.60","184.00","512.49K","0.86%"
"07/10/2026","185.70","184.00","185.70","182.70","599.34K","1.03%"
"07/09/2026","183.80","185.90","186.30","183.30","627.13K","-0.27%"
"07/08/2026","184.30","186.00","188.50","184.30","593.33K","-1.86%"
"07/07/2026","187.80","186.50","189.20","185.90","514.60K","1.08%"
"07/06/2026","185.80","188.10","189.30","185.80","567.40K","-1.01%"
"07/03/2026","187.70","187.00","188.40","185.50","608.09K","0.91%"
