"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2026","562.00","550.50","562.00","549.00","89.91K","2.18%"
"09/07/2026","550.00","550.00","556.50","548.00","115.61K","0.00%"
"09/04/2026","550.00","553.50","558.50","546.50","102.86K","-0.72%"
"09/03/2026","554.00","560.50","562.00","553.50","138.99K","-1.42%"
"09/02/2026","562.00","567.50","572.00","559.00","141.87K","-2.01%"
"09/01/2026","573.50","571.00","573.50","560.00","178.95K","0.79%"
"08/31/2026","569.00","574.00","574.00","562.00","511.72K","-1.64%"
"08/28/2026","578.50","576.00","582.00","576.00","204.10K","1.22%"
"08/27/2026","571.50","577.00","579.50","571.00","152.21K","-1.12%"
"08/26/2026","578.00","551.50","579.50","551.50","460.70K","6.25%"
"08/25/2026","544.00","532.00","550.00","530.00","430.41K","2.64%"
"08/24/2026","530.00","540.00","540.00","529.00","189.63K","0.66%"
"08/21/2026","526.50","509.50","528.00","509.50","201.80K","3.34%"
"08/20/2026","509.50","512.00","516.00","503.50","159.21K","-0.10%"
"08/19/2026","510.00","506.00","515.00","501.50","149.81K","-0.10%"
"08/18/2026","510.50","513.00","513.50","507.00","110.89K","-0.78%"
"08/17/2026","514.50","517.50","517.50","510.50","107.48K","-0.58%"
"08/14/2026","517.50","523.00","524.00","514.00","161.10K","-1.05%"
"08/13/2026","523.00","525.50","527.50","511.50","308.60K","-2.88%"
"08/12/2026","538.50","536.50","545.50","533.00","185.29K","1.60%"
"08/11/2026","530.00","528.00","533.50","527.00","121.59K","1.53%"
"08/10/2026","522.00","524.00","529.50","521.50","98.27K","-0.29%"
